-32768 , -29491.199219
-32767 , -29490.299219
-32766 , -29489.399219
-32765 , -29488.499219
-32764 , -29487.599219
-32763 , -29486.699219
-32762 , -29485.799219
-32761 , -29484.899219
-32760 , -29483.999219
-32759 , -29483.099219
-32758 , -29482.199219
-32757 , -29481.299219
-32756 , -29480.399219
-32755 , -29479.499219
-32754 , -29478.599219
-32753 , -29477.699219
-32752 , -29476.799219
-32751 , -29475.899219
-32750 , -29474.999219
-32749 , -29474.099219
-32748 , -29473.199219
-32747 , -29472.299219
-32746 , -29471.399219
-32745 , -29470.499219
-32744 , -29469.599219
-32743 , -29468.699219
-32742 , -29467.799219
-32741 , -29466.899219
-32740 , -29465.999219
-32739 , -29465.099219
-32738 , -29464.199219
-32737 , -29463.299219
-32736 , -29462.399220
-32735 , -29461.499220
-32734 , -29460.599220
-32733 , -29459.699220
-32732 , -29458.799220
-32731 , -29457.899220
-32730 , -29456.999220
-32729 , -29456.099220
-32728 , -29455.199220
-32727 , -29454.299220
-32726 , -29453.399220
-32725 , -29452.499220
-32724 , -29451.599220
-32723 , -29450.699220
-32722 , -29449.799220
-32721 , -29448.899220
-32720 , -29447.999220
-32719 , -29447.099220
-32718 , -29446.199220
-32717 , -29445.299220
-32716 , -29444.399220
-32715 , -29443.499220
-32714 , -29442.599220
-32713 , -29441.699220
-32712 , -29440.799220
-32711 , -29439.899220
-32710 , -29438.999220
-32709 , -29438.099220
-32708 , -29437.199220
-32707 , -29436.299220
-32706 , -29435.399220
-32705 , -29434.499220
-32704 , -29433.599220
-32703 , -29432.699220
-32702 , -29431.799220
-32701 , -29430.899220
-32700 , -29429.999220
-32699 , -29429.099220
-32698 , -29428.199220
-32697 , -29427.299220
-32696 , -29426.399220
-32695 , -29425.499220
-32694 , -29424.599221
-32693 , -29423.699221
-32692 , -29422.799221
-32691 , -29421.899221
-32690 , -29420.999221
-32689 , -29420.099221
-32688 , -29419.199221
-32687 , -29418.299221
-32686 , -29417.399221
-32685 , -29416.499221
-32684 , -29415.599221
-32683 , -29414.699221
-32682 , -29413.799221
-32681 , -29412.899221
-32680 , -29411.999221
-32679 , -29411.099221
-32678 , -29410.199221
-32677 , -29409.299221
-32676 , -29408.399221
-32675 , -29407.499221
-32674 , -29406.599221
-32673 , -29405.699221
-32672 , -29404.799221
-32671 , -29403.899221
-32670 , -29402.999221
-32669 , -29402.099221
-32668 , -29401.199221
-32667 , -29400.299221
-32666 , -29399.399221
-32665 , -29398.499221
-32664 , -29397.599221
-32663 , -29396.699221
-32662 , -29395.799221
-32661 , -29394.899221
-32660 , -29393.999221
-32659 , -29393.099221
-32658 , -29392.199221
-32657 , -29391.299221
-32656 , -29390.399221
-32655 , -29389.499221
-32654 , -29388.599221
-32653 , -29387.699221
-32652 , -29386.799222
-32651 , -29385.899222
-32650 , -29384.999222
-32649 , -29384.099222
-32648 , -29383.199222
-32647 , -29382.299222
-32646 , -29381.399222
-32645 , -29380.499222
-32644 , -29379.599222
-32643 , -29378.699222
-32642 , -29377.799222
-32641 , -29376.899222
-32640 , -29375.999222
-32639 , -29375.099222
-32638 , -29374.199222
-32637 , -29373.299222
-32636 , -29372.399222
-32635 , -29371.499222
-32634 , -29370.599222
-32633 , -29369.699222
-32632 , -29368.799222
-32631 , -29367.899222
-32630 , -29366.999222
-32629 , -29366.099222
-32628 , -29365.199222
-32627 , -29364.299222
-32626 , -29363.399222
-32625 , -29362.499222
-32624 , -29361.599222
-32623 , -29360.699222
-32622 , -29359.799222
-32621 , -29358.899222
-32620 , -29357.999222
-32619 , -29357.099222
-32618 , -29356.199222
-32617 , -29355.299222
-32616 , -29354.399222
-32615 , -29353.499222
-32614 , -29352.599222
-32613 , -29351.699222
-32612 , -29350.799222
-32611 , -29349.899222
-32610 , -29348.999223
-32609 , -29348.099223
-32608 , -29347.199223
-32607 , -29346.299223
-32606 , -29345.399223
-32605 , -29344.499223
-32604 , -29343.599223
-32603 , -29342.699223
-32602 , -29341.799223
-32601 , -29340.899223
-32600 , -29339.999223
-32599 , -29339.099223
-32598 , -29338.199223
-32597 , -29337.299223
-32596 , -29336.399223
-32595 , -29335.499223
-32594 , -29334.599223
-32593 , -29333.699223
-32592 , -29332.799223
-32591 , -29331.899223
-32590 , -29330.999223
-32589 , -29330.099223
-32588 , -29329.199223
-32587 , -29328.299223
-32586 , -29327.399223
-32585 , -29326.499223
-32584 , -29325.599223
-32583 , -29324.699223
-32582 , -29323.799223
-32581 , -29322.899223
-32580 , -29321.999223
-32579 , -29321.099223
-32578 , -29320.199223
-32577 , -29319.299223
-32576 , -29318.399223
-32575 , -29317.499223
-32574 , -29316.599223
-32573 , -29315.699223
-32572 , -29314.799223
-32571 , -29313.899223
-32570 , -29312.999223
-32569 , -29312.099223
-32568 , -29311.199224
-32567 , -29310.299224
-32566 , -29309.399224
-32565 , -29308.499224
-32564 , -29307.599224
-32563 , -29306.699224
-32562 , -29305.799224
-32561 , -29304.899224
-32560 , -29303.999224
-32559 , -29303.099224
-32558 , -29302.199224
-32557 , -29301.299224
-32556 , -29300.399224
-32555 , -29299.499224
-32554 , -29298.599224
-32553 , -29297.699224
-32552 , -29296.799224
-32551 , -29295.899224
-32550 , -29294.999224
-32549 , -29294.099224
-32548 , -29293.199224
-32547 , -29292.299224
-32546 , -29291.399224
-32545 , -29290.499224
-32544 , -29289.599224
-32543 , -29288.699224
-32542 , -29287.799224
-32541 , -29286.899224
-32540 , -29285.999224
-32539 , -29285.099224
-32538 , -29284.199224
-32537 , -29283.299224
-32536 , -29282.399224
